STUDBME1,STUDBME2,STUDBME3,CMP-lab1,CMP_LAB1,Sbme-Staff,CUFE,bdawy,CIVil-2022,Location
-100.0,-54.0,-100.0,-73.0,-42.0,-100.0,-52.0,-89.0,-100.0,class0
-100.0,-57.0,-100.0,-69.0,-53.0,-100.0,-53.0,-100.0,-80.0,class0
-62.0,-54.0,-100.0,-73.0,-51.0,-100.0,-55.0,-100.0,-100.0,class0
-58.0,-45.0,-100.0,-76.0,-53.0,-100.0,-54.0,-87.0,-100.0,class0
-60.0,-54.0,-100.0,-100.0,-40.0,-100.0,-58.0,-100.0,-100.0,class0
-57.0,-60.0,-100.0,-100.0,-51.0,-100.0,-55.0,-100.0,-100.0,class0
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-85.0,-100.0,class0
-100.0,-48.0,-100.0,-100.0,-54.0,-100.0,-53.0,-90.0,-100.0,class0
-100.0,-48.0,-81.0,-100.0,-100.0,-100.0,-52.0,-89.0,-100.0,class0
-100.0,-61.0,-100.0,-100.0,-56.0,-100.0,-53.0,-88.0,-100.0,class0
-100.0,-58.0,-77.0,-100.0,-50.0,-100.0,-55.0,-100.0,-100.0,class0
-100.0,-56.0,-100.0,-71.0,-51.0,-100.0,-54.0,-83.0,-79.0,class0
-63.0,-100.0,-74.0,-100.0,-100.0,-100.0,-57.0,-89.0,-100.0,class0
-100.0,-53.0,-81.0,-76.0,-40.0,-100.0,-54.0,-100.0,-100.0,class0
-42.0,-100.0,-100.0,-100.0,-50.0,-100.0,-60.0,-84.0,-100.0,class0
-48.0,-59.0,-100.0,-75.0,-42.0,-100.0,-57.0,-100.0,-100.0,class0
-69.0,-55.0,-74.0,-100.0,-35.0,-100.0,-54.0,-100.0,-100.0,class0
-100.0,-49.0,-100.0,-72.0,-100.0,-100.0,-100.0,-81.0,-100.0,class1
-59.0,-54.0,-100.0,-100.0,-52.0,-100.0,-69.0,-77.0,-100.0,class1
-71.0,-54.0,-100.0,-72.0,-49.0,-100.0,-69.0,-81.0,-100.0,class1
-66.0,-43.0,-100.0,-73.0,-62.0,-100.0,-67.0,-74.0,-100.0,class1
-100.0,-41.0,-100.0,-70.0,-54.0,-100.0,-67.0,-71.0,-100.0,class1
-100.0,-46.0,-100.0,-65.0,-60.0,-100.0,-72.0,-79.0,-100.0,class1
-57.0,-47.0,-100.0,-70.0,-52.0,-100.0,-69.0,-77.0,-76.0,class1
-100.0,-46.0,-100.0,-68.0,-57.0,-100.0,-64.0,-74.0,-100.0,class1
-58.0,-53.0,-100.0,-66.0,-100.0,-100.0,-69.0,-77.0,-100.0,class1
-54.0,-40.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,class1
-100.0,-39.0,-100.0,-71.0,-63.0,-100.0,-66.0,-80.0,-100.0,class1
-100.0,-37.0,-100.0,-75.0,-58.0,-100.0,-100.0,-78.0,-100.0,class1
-64.0,-38.0,-76.0,-68.0,-59.0,-100.0,-70.0,-80.0,-74.0,class1
-61.0,-72.0,-100.0,-69.0,-100.0,-100.0,-100.0,-83.0,-100.0,class1
-100.0,-54.0,-100.0,-70.0,-57.0,-100.0,-100.0,-84.0,-100.0,class1
-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-84.0,-76.0,class1
-77.0,-39.0,-100.0,-81.0,-65.0,-100.0,-74.0,-86.0,-74.0,class1
-69.0,-40.0,-100.0,-72.0,-67.0,-100.0,-68.0,-80.0,-72.0,class1
-68.0,-55.0,-100.0,-68.0,-58.0,-100.0,-73.0,-82.0,-72.0,class1
-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-86.0,-71.0,class1
-59.0,-51.0,-100.0,-71.0,-55.0,-100.0,-68.0,-82.0,-100.0,class1
-71.0,-55.0,-100.0,-73.0,-53.0,-100.0,-68.0,-78.0,-100.0,class1
-68.0,-57.0,-100.0,-100.0,-51.0,-100.0,-65.0,-100.0,-100.0,class1
-100.0,-55.0,-76.0,-68.0,-50.0,-100.0,-62.0,-100.0,-100.0,class1
-65.0,-64.0,-100.0,-77.0,-55.0,-100.0,-100.0,-83.0,-100.0,class1
-71.0,-100.0,-79.0,-77.0,-50.0,-100.0,-67.0,-82.0,-79.0,class1
-68.0,-60.0,-100.0,-100.0,-46.0,-100.0,-67.0,-81.0,-100.0,class1
-74.0,-43.0,-100.0,-100.0,-55.0,-100.0,-66.0,-90.0,-100.0,class1
-69.0,-52.0,-100.0,-100.0,-49.0,-100.0,-64.0,-84.0,-100.0,class1
-62.0,-48.0,-100.0,-100.0,-53.0,-100.0,-64.0,-100.0,-100.0,class1
-100.0,-100.0,-100.0,-78.0,-51.0,-100.0,-100.0,-100.0,-100.0,class1
-65.0,-53.0,-100.0,-75.0,-43.0,-100.0,-100.0,-80.0,-100.0,class1
-100.0,-41.0,-100.0,-100.0,-53.0,-100.0,-67.0,-100.0,-100.0,class1
-60.0,-52.0,-100.0,-100.0,-53.0,-100.0,-69.0,-78.0,-100.0,class1
-100.0,-54.0,-83.0,-73.0,-57.0,-100.0,-71.0,-83.0,-100.0,class1
-61.0,-52.0,-100.0,-100.0,-54.0,-100.0,-100.0,-100.0,-100.0,class1
-62.0,-48.0,-100.0,-100.0,-49.0,-100.0,-100.0,-100.0,-100.0,class1
-58.0,-47.0,-100.0,-75.0,-100.0,-100.0,-66.0,-100.0,-100.0,class1
-65.0,-47.0,-83.0,-72.0,-53.0,-100.0,-70.0,-84.0,-100.0,class1
-100.0,-100.0,-78.0,-72.0,-49.0,-100.0,-100.0,-82.0,-100.0,class1
-72.0,-58.0,-78.0,-79.0,-55.0,-100.0,-100.0,-100.0,-100.0,class1
-66.0,-55.0,-100.0,-75.0,-50.0,-100.0,-68.0,-82.0,-100.0,class1
